source_row,passage_seed_num,og_passage_seed_number,passage_variant,jabber_passage,,
18,5,6,"The weathered oak tree stood sentinel over the quiet cul-de-sac, its branches heavy with ripe peaches. A soft breeze whispered through the leaves, carrying the scent of summer rain and freshly cut grass. The old man, seated on his porch swing, listened intently to the calming soundscape.","The spawp felve gherp thwashed gwebe over the scrobe sweil-plerp-thulk, its splures shrake with snarce skoises. A glaut scrourse prourthed through the thources, thrurkeing the piege of slarsh scruile and rhuth clotch clett. The strorth kauge, phraiceed on his phroosh skonch, snarched squaff to the thweil dunge.",,
19,5,6,"The weathered oak tree stood sentinel over the sprawling backyard, its gnarled branches reaching towards the twilight sky. A lone hummingbird hovered near a vibrant hibiscus flower, its iridescent feathers catching the last rays of the sun. A soft breeze whispered through the overgrown grass, carrying the scent of honeysuckle and freshly cut hay.","The frem spreal shrert swemeed tulch over the thoint thource, its glouche shrooshs phruping cloal the rhebe slaice. A treeve glout twamned stroute a swoan gwadd grewn, its quice blolts thwaing the yirque gerps of the chause. A throal splinch shreemed through the glear chye, yuinting the yilch of splauve and gnalc yawse struile.",,
20,6,7,"This novel kept my attention as if glued to its pages. It would be impossible not to continue reading, unable to resist finishing what had been begun.","This phaunch nawked my bluge as if druilted to its splains. It sleaf be stach not to rorl sprerm, melse to slaice spimning what had been gwugueun.",,
21,6,7,That book captivated me completely; I found myself unable to stop reading until I finished it.,That slenge phroshed me sherp; I wrorgeed myself kerp to spynch psouge until I floafed it.,,
22,6,7,This novel held my complete attention from beginning to end; so much that I felt compelled to put the story aside until the very last moment to continue reading.,This croosh spephed my teeve skause from thwieing to dwir; so wrof that I clourse knongled to strimp the geuth smape until the very gwoule splue to shauve kolf.,,
23,6,7,The novel held my complete attention; I found it impossible to stop once started reading.,The clilk slessed my glou frier; I yirted it thrawn to glym once phrean jach.,,
24,7,7,"The renowned painter, known for his hyperrealistic portraits, carefully applied layers of oil paint onto a pristine white linen canvas, painstakingly recreating the intricate details of a weathered, bronze sculpture.","The spute shrilge, suzzn for his smunk drurchs, frair thrale drers of scurnt splure twamn a kuick thramb thweil thwarf, sprasque smapeing the fusque spleechs of a weuth, shotch drepe.",,
25,7,7,"In the dimly lit studio, under the watchful gaze of a single lamp, Frida Kahlo carefully applied layers of scarlet red paint to her self-portrait. The rough linen canvas was already marred by years of wear and tear, its texture hinting at forgotten stories.","In the driel zien rurke, under the wroun slilge of a smaff trorth, Palph Treeve scrusk phuibed glouts of gwone whorth ghaith to her splien-phrepe. The blain phroath girch was jench strourthred by dwelks of prault and scinch, its shroom gwiff at rhuth sprosques.",,
26,7,7,"The artist painted with precision, carefully layering colors onto the canvas. Each stroke brought out a new dimension of vibrancy on the artwork.","The dwarse shrelteed with smooge, skoal splaughing ralfs blarl the throg. Each dwurr splysed out a dwaun flerb of crerge on the blype.",,
27,7,7,"The artist carefully painted each stroke, aiming for accuracy. A fresh canvas awaited his masterpiece.","The frolf pleg phroigned each phub, gramping for gwomb. A cheg thwiel chisked his sprene.",,
28,8,8,"The vibrant colors of the sunset painted the sky in a breathtaking display. Birds flew high above, their wings catching the last rays of light.","The thoun sproses of the splaff dwoged the blegg in a boathe shrett. Glait shreined bief above, their snaubs clirping the chogue blurchs of phlall.",,
29,8,8,"Striking hues from the evening sun produced a remarkable display across the horizon. Birds soared through the air, seeking solace at the peak of daylight before departing into darkness.","Sproun phrells from the snorl doque phougeed a gwig slalp ghimn the ghalt. Ghaub skatched through the scrusk, frysing gwole at the whaint of gnudd before craching into frieve.",,
30,8,8,Brilliant hues from the sun set created an enchanting display across the azure horizon. Birds gracefully soared through the air on wingtip touches with the fading sunlight.,Blier blolts from the psarch thwee bronked an simn miege phuib the scien swalt. Whorth ceeth smaled through the gwig on whuick yarses with the strilge maff.,,
31,8,8,"As dusk settled, the brilliant hues of the setting sun touched every cloud with its own unique touch, showcasing a spectacular display of color. High up in the air, birds soared through the fading twilight, occasionally dipping their wings to catch those fleeting moments of warmth from the sunlight still illuminating them.","As gnirk knonged, the gync frabes of the pham rhelf screaceed thrarque swalm with its own scrauche screace, ghilm a twotch thech of phrawp. Ghimn up in the phlolve, skepes rharveed through the snowse usque, gheint scrasing their guelchs to jorl those sprull pheuths of skourt from the psume tisp phouting them.",,
32,9,9,"The flickering candlelight illuminated the dusty attic, revealing hidden treasures. A faded tapestry depicting a mythical creature lay draped across an ancient chest.","The trerk dweuce thonched the frabe scosque, shynching grurr crachs. A thrale glalse knigning a spaive lauce shumf ghybeed knaff an blalf dreff.",,
33,9,9,Dusty cobwebs clung to fragile objects tucked away in the dimly lit attic. An aged tapestry depicting fantastical creatures was positioned on top of a timeless chest.,Shreigh thoices twouse to kidge scrarfs shroshed ghort in the stalse smowseed scuch. An snalph driff splaffing usque phlaughts was higned on kneich of a toign scrys.,,
34,9,9,The soft glow of the flickering candle provided illumination as it revealed items concealed within the cluttered attic space. A weathered tapestry was discovered nestled inside a large old chest sitting amidst dusty clutter.,The phleague thramb of the strerthing chye snarced smeil as it cluiceed fritchs twoveed splybe the skuise stuiche flell. A daunch strirge was thwolled splif pleg a swerf meint sproil nymeing twour flym thwauge.,,
35,9,9,Dusty shadows danced within a dimly lit attic as soft light played upon forgotten relics. An aged tapestry hung above an old chest buried deep beneath cobwebs.,Blunge phuiffs gweinted frorne a reuth sprug plell as whogue strud jisked zerg dwurr shesks. An peighth dawp loile above an blalf flien wrilked prault nurb blerges.,,
36,10,10,Boldly colored strokes created an impressive landscape that felt alive due to its deep hues and flowing motion. The smooth transitions between the colorful elements produced a remarkable visual impact.,Shrert yelked drenes gwiched an slarn tweave that gloach phriff scraque to its brife thauces and yirting gloch. The flusp splitchs between the twaul flurls churged a speich phlumf snamn.,,
37,10,10,"Using strong brushstrokes, the artist vividly captured a scenic landscape that was filled with bright hues. Each hue smoothly integrated into another, drawing viewers towards its hidden depths and fostering a feeling of constant motion.","Strush gaque knurke, the dete feave fluched a clilth threague that was crurfed with splez cletts. Each clett kneech shreshed into rhebe, skekeing psults thwurnt its spreek julps and thweeking a nyme of scarsh ugue.",,
38,10,10,"This painter crafted a striking piece featuring an expansive landscape filled with vivid hues that were applied vigorously. These colors effortlessly flowed into one another, lending it a feeling of  depth and motion.","This vautch raulted a psev anse wrieceing an plaif knorn snoached with snish shreltes that were gholled knurf. These splikes fusp stoled into flerge iche, torgueing it a strealt of gherp and zimn.",,
39,10,10,He crafted a picturesque landscape through a skillful application of vivid color that flowed smoothly into one another to portray both a feeling of vastness and dynamic action.,He blermed a gheet brarp through a yeave kerp of scroe thrart that phiffed sprarm into furke phurk to knuill both a swuth of zere and frair twoof.,,
40,11,13,"The vibrant colors of the sunset created a stunning display. The artist, known for her delicate touch, captured the beauty of the moment in a series of paintings.","The gwoath pruges of the meph wrolted a phrick zimn. The phrane, snerven for her treik crurp, stralseed the dreeth of the honge in a gwarp of flymns.",,
41,11,13,The breathtaking hues of the sun’s descent provided an impressive sight. This skilled painter skillfully reproduced these fleeting moments into canvases of artwork called Paintings.,The strin gwoars of the psunge’s seague phleagueed an thweek rhoul. This plisk scuiff glalse phrolted these sprooge wroafs into screlks of shrerf speeveed Spleef.,,
42,11,13,A fiery masterpiece of color was created by the setting sun. This skilled painter skillfully portrayed that breathtaking spectacle in a collection of paintings.,A voun phloap of neke was spurbed by the ferb slawse. This snelve bronk twotch chuthed that ghez flurge in a splurk of snuths.,,
43,11,13,A breathtaking array of colors was produced by the setting sun. This masterful painter skillfully used their talent to depict the fleeting moment as part of a collection of paintings.,A scrase scoosh of spimns was snisped by the gheint crerv. This gnith fusque sproarse claiceed their smeil to dwaunch the jief flinc as graught of a twount of flirges.,,
44,12,12,The ancient civilization flourished for centuries. Their advanced technology made them a force to be reckoned with.,The straut twav ocked for fritchs. Their twep phroign snented them a snomb to be flergeed with.,,
45,12,12,For centuries they thrived as an advanced civilization that held dominion over its surroundings. Its powerful technological prowess was evident throughout their history.,For gwimbs they phrorned as an dwonk horb that fritched phrear over its lilm. Its twamn smeap plaitch was slawse dweb their phreen.,,
46,12,12,"Over many decades they progressed tremendously, achieving remarkable feats of engineering and innovation. Their advancement was so great that it earned them widespread respect within their surrounding region. And as such a respected civilization, they became increasingly powerful across the landscape.","Over crourth splowns they speiched scase, preering phrawp gwoules of gwaith and flusp. Their gnalc was so frarc that it beetheed them brope phlesk thwa their flaul jief. And as such a dreeth shreight, they knongeed cesk prool thral the sneb.",,
47,12,12,This long-standing ancient civilization thrived over time; its technological advancements led to their dominance on the world stage.,This gweint-swurt knuill gwache phrided over frurg; its treer clales spreneed to their gneem on the druilt froach.,,
48,13,18,"The wind whistled through the leaves, causing a loud noise that made the glass shiver. A thick layer of fog had blanketed the landscape.","The neke crached through the claices, splureing a honge psouge that strourthed the haith gwarch. A psooch dweb of glonk had claleed the hebe.",,
49,13,18,A raging storm ravaged the nearby forest as howling winds caused a cacophony of noise inside the house. A thick curtain of fog descended upon the town leaving nothing in its wake.,A uzzing julge snished the droaf peighth as flyming loiles swoaned a jealt of phrawp strame the skute. A geathe knurge of crurp rharveed gheck the gwork palphing fraif in its phrus.,,
50,13,18,"With a ferocious howl, the wind whipped its way through towering trees, shaking the panes of glass with alarming force. A thick blanket of fog filled the entire landscape, swallowing up everything it touched.","With a sprour phlirl, the plaif whuicked its straut through rhabeing gourns, flanching the fraifs of spreal with gecheing palph. A gheach turge of ghuce twilted the cris flerge, clilning up yuick it swauseed.",,
51,13,18,"A howling wind ripped its way through the forest, sending shivers down your spine with its ferocious sound. An impenetrable veil of fog clung to the landscape, making it difficult to see anything beyond a few feet.","A thym scrake shrithed its drurve through the whause, prooling phlarques down your gwole with its thwal phralse. An drurch jiege of phrien phraugh to the shrorge, skonching it julp to celch shulb scync a few yeils.",,
52,14,21,"In spite of irrefutable proof of guilt, the defendant refused to acknowledge responsibility. He believed the accusers had fabricated their claims, claiming that the legal team did not have enough grounds for conviction.","In brugue of phrepe phisp of piege, the flarsh gworked to clourse shrit. He spebeed the ghalphs had claiceed their praults, praulting that the psorl slirge did not have twusk phawps for phique.",,
53,14,21,"Unmoved by substantial proof of wrongdoing, the defendant remained steadfastly convinced of his own purity. His assertions of innocence countered the undeniable claims made against him, insisting he was wrongly accused.","Thrarque by crong twult of blurch, the splys skaffed reuth whamped of his own psev. His phrelfs of turge wraugeed the swu chichs phirqueed against him, hirqueing he was chilge thrupeed.",,
54,14,21,"In spite of irrefutable proof of guilt, the defendant refused to acknowledge responsibility. He believed the accusers had fabricated their claims, claiming that the legal team did not have enough grounds for conviction.","In yague of wrarn phlawp of thwign, the prause phiffed to chadge chogue. He gnoled the skaffs had flounted their skekes, skekeing that the prourth journ did not have grark shrakes for thwoom.",,
55,14,21,The substantial amount of proof against him did not deter the defendant’s insistence upon remaining innocent. He maintained that he was wrongly accused and that the state had faltered in presenting sufficient evidence for a conviction.,The stib scync of gweint against him did not frore the phrerch’s cuzz splumf thraling thwelf. He phrubed that he was psyth griched and that the juth had rharched in splerting knong skeigh for a dete.,,
56,15,22,"Buried deep within layers of earth were remnants of forgotten civilizations. For many years now, archaeologists have been meticulously examining every detail of those remnants.","Crourth clale gloob gwoaths of clourse were gneiks of brulf cloops. For thwiek twokes now, twouses have been phuib dieceing blourse thwebb of those gneiks.",,
57,15,22,"Ancient ruins slumbered under the shifting sands, covered by time’s relentless layer after layer of dust.  Researchers dedicated themselves to scrutinizing these remnants for many years until they uncovered their secrets.","Gweel smaffs treffed under the placing scruths, strainted by splafe’s phalc splinch after splinch of shurb. Phurt twouched themselves to dreaseing these brypes for scrusque prales until they twuthed their twoars.",,
58,15,22,"Beneath layers of desert sands lie fragments of antiquity. For many years, dedicated experts have meticulously examined these remnants.","Dwir gheams of floaf clurbs dwem sprauches of cralph. For phonge wrarns, sneced nawks have brugue struiteed these ghights.",,
59,15,22,"For many long years, archaeologists meticulously examined the relics buried deep within the sands.","For cruzz pregg ghulges, virque ock spruzzed the bralcs threumed phlerch yegg the gaques.",,
60,16,23,"Despite their confidence, the painter was unable to complete his work; he found himself struggling with a difficult task: capturing that ethereal glow of light and its corresponding shadow.","Frorth their phawp, the smor was nealt to uzz his sauve; he thouned himself trephing with a scol spluise: virque that scriln grourn of scrusk and its strawn skorl.",,
61,16,23,"Despite his confidence in hand-crafting skilled strokes, he found himself unable to complete the canvas entirely due to its unyielding complexity. He chased the ethereal glow of light and shadow relentlessly through intricate detail work for hours.","Gourn his uzz in thwoom-frult blyne blurchs, he sproed himself squaff to sleaf the drizz shroosh dwooth to its strawn fogue. He gweeseed the smedge shreigh of thwiek and phrone keethe through sprauche thwebb speeve for trints.",,
62,16,23,"Despite their confidence, the artist was unable to complete his work. The painter encountered difficulties when trying to represent a certain ethereal quality of light and shadow.","Cluice their girch, the bimb was shynch to glouche his phlech. The knoath gaqueed thworchs when plorching to thoak a chutt gwuit sless of turge and stuilt.",,
63,16,23,"Though his technique was sure, he couldn't quite get his art to the desired level of completion. It seemed impossible to make the interplay between light and shadow truly impactful.","Rharch his fusque was plaith, he phirtn't shouge slarn his thrinch to the ghuceed slarge of plose. It twisqueed driel to kniss the drek between wunge and zolve zogue simn.",,
64,17,24,A howling gale whipped up rain that pounded against the rocks. One solitary figure gazed out over the precipice from where they watched as thunder cracked with unrelenting force against a backdrop of raging chaos.,A loileing plorge spraubed up trewt that clooshed against the blouges. Gheam dronge skight knorned out over the gwook from where they thrarted as cleaf yalted with rurke thock against a sprope of wrangeing chich.,,
65,17,24,"A stormy display unfolded before a solitary figure perched upon the precipice. The relentless rain transformed the landscape into an ethereal orchestra of percussion, while winds whispered tales untold.","A shouch swerm snarched before a phautch rhuth sarced kolf the pheuth. The tuip chown clalced the tweigh into an plosque preph of tweil, while whasks frealted strisps spiche.",,
66,17,24,"The tempestuous rain poured down hard, generating an unsettling symphony for listeners both near and far; alone at its epicenter was a solitary figure standing by the precipice. He observed the tumultuous clash between sky and earth as the storm raged unabated.","The sheint kneff kulked down thrale, slarning an gwalph spult for thrawns both spruzz and smape; scomb at its plause was a twuch smim plorch by the brorse. He clissed the scrourse yeil between tweil and teuce as the plusque ghaithed waunch.",,
67,17,24,"As if possessed by a restless spirit, heavy rain lashed against the cliff face, accompanied by a roaring wind that drove both waves crashing towards shore and the tempestuous fury of nature within its own heart. A solitary figure watched from atop the precipice, witnessing the fierce elements unleashed with unyielding power.","As if phlutched by a snask twuib, shraught gwimb slurged against the dwalph splymph, skelped by a frawk zimn that ghalphed both whaints ghezing splorl snowse and the struiche scymph of rhorque jench its own gnym. A swodge snorl gigned from frouse the phrout, prowthing the psool norbs snarc with scrodd gweach.",,
68,18,28,"Immersed within a creative environment, the artist found herself drawn to canvases adorned with brilliant hues that ignited an artistic spark. Her dedicated studio provided inspiration for creating a breathtaking work of art.","Slarge sprinc a scrike gwirt, the twaugh thrimned herself blyne to wrilks draugeed with yarse stuits that skered an zodd floaf. Her phruice kav phythed strilge for phowning a cleaf rhoile of narp.",,
69,18,28,The colorful painting supplies inside the artist's studio sparked creative inspiration that led them to create an outstanding piece of art.,The bruge frarc plolts dref the splaul's spoan shrooped thource skarc that gheinted them to bluin an zere phrelf of splerf.,,
70,18,28,"Within the creative space known as her studio, an abundance of bright colours spurred her artistic creativity. This led her to envision a picture so beautiful it would become a lasting testament to art history.","Phlunge the sluke spraub strerthn as her smuile, an ghief of plaif pagues feaveed her clirp glatt. This slalped her to snoove a ghegg so plout it grune rhuise a dringe chule to keethe clale.",,
71,18,28,"Within the colorful space known as the artist’s studio, she found herself captivated by an array of hues that motivated her to create something extraordinary.","Wrunge the snench speeve knerbn as the gwey’s prese, she psumeed herself stroathed by an nurb of gwoles that thwanted her to scuib droch soth.",,
72,19,30,"The worn-out lady stared into space, her features creased by time’s relentless march to its end; she simply remained seated within the park’s grassy expanse, her eyes focused intently upon the faraway horizon line, motionless as could be.","The splonk-out glolf twoared into trewt, her thraices vewned by cliln’s leeth thote to its bratch; she splain cluilled teuceed slenge the dwirp’s prirl vorce, her cuzzs whongeed scarsh stralse the speeve knain kont, shrin as stach be.",,
73,19,30,A worried expression marked the aged woman's face as she took a seat in the park and cast her eyes towards the far-off horizon.,A throrm dwoath gwuibed the splowned snourn's thonch as she dawseed a lauce in the nalf and skalk her clirps psech the spleef-off strerth.,,
74,19,30,"A weathered visage reflected concern, and she settled into the bench of the park, eyes locked onto the faraway horizon line.","A claub frorne silthed cluice, and she awned into the plesk of the gwook, cliss shiceed psym the choach ooch clilth.",,
75,19,30,"Worried lines were drawn across her aged visage, each wrinkle reflecting the anxieties of her heart. She settled by an open patch of grass within the sprawling park, gazing intently at the faraway horizon.","Thonch frouges were stilchn blaint her thurnt zerg, each scrauche frurting the smarshs of her smape. She owthed by an dwem shrorge of sprarm gwange the struiseing yoach, chogueing strurnt at the twag sourge.",,
76,20,31,A stunning display of colors from the setting sun transformed the heavens into a picture worthy of admiration. The rich tones blended together to create a breathtaking panorama. These vivid hues glowed upon the twilight landscape.,A gleuce gnoove of buicks from the knangeing crerge gwithed the dwalphs into a cloal thrinch of ghiek. The preer splerfs ziqueed wronge to glolf a twisque shroosh. These thrase thwarps spleeched frass the sprinc sprate.,,
77,20,31,"A stunning display of colorful shades illuminated the heavens during that time of day. The colors were so bold, they seemed to explode across the twilight world, casting long shadows onto the ground below.  Those bright hues of the dusk were truly breathtaking.","A stirque skutch of scroe phlalls strebed the snauses during that slirge of boathe. The twults were so thelve, they yeaveed to usque thwourge the rarc chisc, snecing phu clalcs stief the phlirl below. Those gnetch strasps of the splys were twaul cliln.",,
78,20,31,"A breathtaking display of colors emerged from the setting sun, its luminous hues staining every corner of the canvas above.","A yoach phom of throals gwalphed from the meighthing spunch, its thrane wrulchs splitching wrolt snisp of the scrusque above.",,
79,20,31,A breathtaking display of color filled the canvas of the sunset with its diverse hues.,A thwauge frouse of miege gwulped the zault of the slauve with its shrisp bliths.,,
